t,u,v
4.515338032948807562e-02,-3.325218102358322783e-03,1.280668520073143135e+00
4.520765121930717112e-02,-3.319330758422945216e-03,1.281465248536110213e+00
4.526192210912627356e-02,-3.313455897034234526e-03,1.282260992116049048e+00
4.531619299894536906e-02,-3.307593508932625808e-03,1.283055756459004382e+00
4.537046388876446457e-02,-3.301743584875421744e-03,1.283849547208900654e+00
4.542473477858356007e-02,-3.295906115637136941e-03,1.284642370007622381e+00
4.547900566840265557e-02,-3.290081092009838806e-03,1.285434230495096530e+00
4.553327655822175107e-02,-3.284268504803489717e-03,1.286225134309372020e+00
4.558754744804084658e-02,-3.278468344846284434e-03,1.287015087086702314e+00
4.564181833785994208e-02,-3.272680602984991832e-03,1.287804094461625359e+00
4.569608922767903758e-02,-3.266905270085291874e-03,1.288592162067045965e+00
4.575036011749814002e-02,-3.261142337032110847e-03,1.289379295534315739e+00
4.580463100731723552e-02,-3.255391794729963102e-03,1.290165500493315021e+00
4.585890189713633103e-02,-3.249653634103280217e-03,1.290950782572534150e+00
4.591317278695542653e-02,-3.243927846096749269e-03,1.291735147399154293e+00
4.596744367677452203e-02,-3.238214421675645466e-03,1.292518600599128931e+00
4.602171456659361753e-02,-3.232513351826167385e-03,1.293301147797266015e+00
4.607598545641271304e-02,-3.226824627555766132e-03,1.294082794617307908e+00
4.613025634623180854e-02,-3.221148239893478413e-03,1.294863546682013755e+00
4.618452723605090404e-02,-3.215484179890257862e-03,1.295643409613240538e+00
4.623879812587000648e-02,-3.209832438619303341e-03,1.296422389032025224e+00
4.629306901568910199e-02,-3.204193007176392004e-03,1.297200490558665154e+00
4.634733990550819749e-02,-3.198565876680201526e-03,1.297977719812801300e+00
4.640161079532729299e-02,-3.192951038272643597e-03,1.298754082413498212e+00
4.645588168514638849e-02,-3.187348483119189189e-03,1.299529583979326830e+00
4.651015257496548400e-02,-3.181758202409194249e-03,1.300304230128446203e+00
4.656442346478457950e-02,-3.176180187356225822e-03,1.301078026478684535e+00
4.661869435460367500e-02,-3.170614429198388620e-03,1.301850978647622004e+00
4.667296524442277050e-02,-3.165060919198648109e-03,1.302623092252672476e+00
4.672723613424186601e-02,-3.159519648645154905e-03,1.303394372911165444e+00
4.678150702406096845e-02,-3.153990608851567432e-03,1.304164826240427733e+00
4.683577791388006395e-02,-3.148473791157377182e-03,1.304934457857866326e+00
4.689004880369915945e-02,-3.142969186928227035e-03,1.305703273381050744e+00
4.694431969351825495e-02,-3.137476787556236525e-03,1.306471278427794536e+00
4.699859058333735046e-02,-3.131996584460319290e-03,1.307238478616238320e+00
4.705286147315644596e-02,-3.126528569086507465e-03,1.308004879564932388e+00
4.710713236297554146e-02,-3.121072732908267405e-03,1.308770486892918861e+00
4.716140325279463696e-02,-3.115629067426823641e-03,1.309535306219814732e+00
4.721567414261373247e-02,-3.110197564171474170e-03,1.310299343165894026e+00
4.726994503243283491e-02,-3.104778214699910506e-03,1.311062603352171729e+00
4.732421592225193041e-02,-3.099371010598536876e-03,1.311825092400485726e+00
4.737848681207102591e-02,-3.093975943482785065e-03,1.312586815933580509e+00
4.743275770189012142e-02,-3.088593004997433177e-03,1.313347779575189556e+00
4.748702859170921692e-02,-3.083222186816922655e-03,1.314107988950119710e+00
4.754129948152831242e-02,-3.077863480645673128e-03,1.314867449684333778e+00
4.759557037134740792e-02,-3.072516878218400308e-03,1.315626167405034019e+00
4.764984126116650343e-02,-3.067182371300429533e-03,1.316384147740746080e+00
4.770411215098559893e-02,-3.061859951688011925e-03,1.317141396321402036e+00
4.775838304080470137e-02,-3.056549611208637940e-03,1.317897918778425659e+00
4.781265393062379687e-02,-3.051251341721355256e-03,1.318653720744813906e+00
4.786692482044289237e-02,-3.045965135117077553e-03,1.319408807855223520e+00
4.792119571026198788e-02,-3.040690983318902404e-03,1.320163185746054069e+00
4.797546660008108338e-02,-3.035428878282422655e-03,1.320916860055531661e+00
4.802973748990017888e-02,-3.030178811996040843e-03,1.321669836423794431e+00
4.808400837971927438e-02,-3.024940776481281016e-03,1.322422120492976694e+00
4.813827926953836989e-02,-3.019714763793101414e-03,1.323173717907293323e+00
4.819255015935746539e-02,-3.014500766020208021e-03,1.323924634313125459e+00
4.824682104917656089e-02,-3.009298775285365081e-03,1.324674875359104220e+00
4.830109193899566333e-02,-3.004108783745706914e-03,1.325424446696197300e+00
4.835536282881475884e-02,-2.998930783593052769e-03,1.326173353977792457e+00
4.840963371863385434e-02,-2.993764767054213870e-03,1.326921602859784555e+00
