t,u,v
1.945999999999999952e+00,-3.985011437000713502e-03,1.459938816928062408e+02
1.947999999999999954e+00,-3.843435029885864263e-03,1.460519613702648201e+02
1.949999999999999956e+00,-3.735264708580516169e-03,1.461141459552279116e+02
1.951999999999999957e+00,-3.663757367250548239e-03,1.461818881553587630e+02
1.953999999999999959e+00,-3.633263145995806447e-03,1.462569507697469646e+02
1.955999999999999961e+00,-3.649547790476465482e-03,1.463415011160250003e+02
1.957999999999999963e+00,-3.720186669888739858e-03,1.464382282510350137e+02
1.959999999999999964e+00,-3.855013076139350483e-03,1.465504808705958624e+02
1.961999999999999966e+00,-4.066542723148366956e-03,1.466824102749877738e+02
1.963999999999999968e+00,-4.370156049491999081e-03,1.468390707098043606e+02
1.965999999999999970e+00,-4.783531564700484011e-03,1.470263621087549950e+02
1.967999999999999972e+00,-5.324326422991527974e-03,1.472505811661156088e+02
1.969999999999999973e+00,-6.004530715974388394e-03,1.475171999886826768e+02
1.971999999999999975e+00,-6.820130521900262359e-03,1.478284988749915101e+02
1.973999999999999977e+00,-7.737747519809172816e-03,1.481803018001332077e+02
1.975999999999999979e+00,-8.686938570373586854e-03,1.485596220126826097e+02
1.977999999999999980e+00,-9.571158147100621363e-03,1.489461771413357383e+02
1.979999999999999982e+00,-1.029859898651389397e-02,1.493184945742845855e+02
1.981999999999999984e+00,-1.081257158093427290e-02,1.496606547467556823e+02
1.983999999999999986e+00,-1.110045983374513545e-02,1.499650710185937612e+02
1.985999999999999988e+00,-1.118240673564410009e-02,1.502310360100557034e+02
1.987999999999999989e+00,-1.109428298820163555e-02,1.504617442948207895e+02
1.989999999999999991e+00,-1.087496530917804287e-02,1.506618629508745926e+02
1.991999999999999993e+00,-1.055974109087192206e-02,1.508361531710788768e+02
1.993999999999999995e+00,-1.017798312436417676e-02,1.509888782914516128e+02
1.995999999999999996e+00,-9.753018328651143209e-03,1.511236406157787258e+02
1.997999999999999998e+00,-9.302874313905352271e-03,1.512434080929781146e+02
2.000000000000000000e+00,-8.841247527710181103e-03,1.513506066620877846e+02
2.002000000000000224e+00,-8.378419228802761257e-03,1.514472231408478820e+02
2.004000000000000004e+00,-7.922030481878186703e-03,1.515348979462157786e+02
2.006000000000000227e+00,-7.477705898633219342e-03,1.516150021778754535e+02
2.008000000000000007e+00,-7.049544256299749255e-03,1.516886996080414463e+02
2.010000000000000231e+00,-6.640501097167069572e-03,1.517569960669209763e+02
2.012000000000000011e+00,-6.252687206885346356e-03,1.518207790193750384e+02
2.014000000000000234e+00,-5.887603190112404052e-03,1.518808498627865049e+02
2.016000000000000014e+00,-5.546326478351760840e-03,1.519379510815615220e+02
2.018000000000000238e+00,-5.229663806729899743e-03,1.519927900391450066e+02
2.020000000000000018e+00,-4.938279678076209177e-03,1.520460609298747556e+02
2.022000000000000242e+00,-4.672809575453662143e-03,1.520984662640019565e+02
2.024000000000000021e+00,-4.433965617005599172e-03,1.521507392212714080e+02
2.026000000000000245e+00,-4.222641907683773697e-03,1.522036682834621502e+02
2.028000000000000025e+00,-4.040026996874329993e-03,1.522581257507439148e+02
2.030000000000000249e+00,-3.887731586149423442e-03,1.523151020710241426e+02
2.032000000000000028e+00,-3.767940921338198447e-03,1.523757483730178137e+02
2.034000000000000252e+00,-3.683603019409148471e-03,1.524414301773393561e+02
2.036000000000000032e+00,-3.638665578565922730e-03,1.525137958791294182e+02
2.038000000000000256e+00,-3.638374843055877921e-03,1.525948639789930326e+02
2.040000000000000036e+00,-3.689645662526803895e-03,1.526871324710223519e+02
2.042000000000000259e+00,-3.801496003582971722e-03,1.527937105580782884e+02
2.044000000000000039e+00,-3.985494640065981135e-03,1.529184630995243026e+02
2.046000000000000263e+00,-4.256063755004083592e-03,1.530661339289050602e+02
2.048000000000000043e+00,-4.630248760839629149e-03,1.532423610143636665e+02
2.049999999999999822e+00,-5.126142704533789146e-03,1.534533957102229635e+02
2.052000000000000046e+00,-5.758562901761710498e-03,1.537051919568849598e+02
2.053999999999999826e+00,-6.530352942522762646e-03,1.540014493699398201e+02
2.056000000000000050e+00,-7.419485024635146322e-03,1.543405439380408950e+02
2.057999999999999829e+00,-8.367991890697767249e-03,1.547125501969627237e+02
2.060000000000000053e+00,-9.285462722794009943e-03,1.550991605419908410e+02
2.061999999999999833e+00,-1.007448593030827420e-02,1.554784622029986281e+02
2.064000000000000057e+00,-1.066419975508160582e-02,1.558320920187364038e+02
2.065999999999999837e+00,-1.102759967844484622e-02,1.561496413993637873e+02
